Title,Company,Experience,Location,Salary,Salary (L),min Salary (L),max Salary (L),avg salary (L),Experience (yrs),min Experience (yrs),max Experience (yrs),avg Experience (yrs)
Project Manager-Data Engineering- Azure (Exp: 8-11 years),Crescendo Global Leadership Hiring India,7-12 Yrs,"Gurgaon/ Gurugram, Haryana, Delhi / NCR",15-27.5 Lacs PA,15-27.5 ,15,27.5 ,21.25,7-12 ,7,12 ,9.5
Openshift Data Engineer,DYR Consulting,6-11 Yrs,"Hybrid - Hyderabad/ Secunderabad, Telangana, Pune, Maharashtra, Gurgaon/ Gurugram, Haryana",15-25 Lacs PA,15-25 ,15,25 ,20.0,6-11 ,6,11 ,8.5
Big Data Engineer,Bharathire.com,6-11 Yrs,"Pune, Chennai",30-45 Lacs PA,30-45 ,30,45 ,37.5,6-11 ,6,11 ,8.5
GCP Data Engineer - Remote,Excelra,5-10 Yrs,Remote,10-20 Lacs PA,10-20 ,10,20 ,15.0,5-10 ,5,10 ,7.5
Data Engineer,Bloomerise Placements (opc),4-9 Yrs,"Gurgaon/ Gurugram, Haryana",10-16 Lacs PA,10-16 ,10,16 ,13.0,4-9 ,4,9 ,6.5
Databricks-Data Engineer,Krazy Mantra,7-10 Yrs,Bangarapet,10-17 Lacs PA,10-17 ,10,17 ,13.5,7-10 ,7,10 ,8.5
Data Engineer,Bwise Solutions,3-7 Yrs,Remote,5-15 Lacs PA,5-15 ,5,15 ,10.0,3-7 ,3,7 ,5.0
Azure Data Engineer,Futran Tech Solutions,5-10 Yrs,Pune,8.5-18.5 Lacs PA,8.5-18.5 ,8.5,18.5 ,13.5,5-10 ,5,10 ,7.5
Data Engineer (With flexible Work policy),Sysvine Technologies,2-7 Yrs,Hybrid - Chennai,7-15 Lacs PA,7-15 ,7,15 ,11.0,2-7 ,2,7 ,4.5
"Data Engineer(Azure,SQL) For South Africa Based MNC-Navi Mumbai",Seventh Contact Hiring Solutions,4-7 Yrs,"Navi Mumbai, Maharashtra",10-20 Lacs PA,10-20 ,10,20 ,15.0,4-7 ,4,7 ,5.5
Data Engineer,VRS Advisory Services,2-7 Yrs,Kochi/Cochin,5-15 Lacs PA,5-15 ,5,15 ,10.0,2-7 ,2,7 ,4.5
Staff Data Engineer,NRS Software Global,9-11 Yrs,Remote,15-30 Lacs PA,15-30 ,15,30 ,22.5,9-11 ,9,11 ,10.0
Lead - Data Science,CAMBRIDGE TECHNOLOGY ENTERPRISES (CTE),10-15 Yrs,Hybrid - Hyderabad/Secunderabad,20-35 Lacs PA,20-35 ,20,35 ,27.5,10-15 ,10,15 ,12.5
Data Architect,Xebia It Architects,12-18 Yrs,"Hybrid - Chennai, Bangalore/Bengaluru, Delhi / NCR",25-40 Lacs PA,25-40 ,25,40 ,32.5,12-18 ,12,18 ,15.0
opening For Data Scientist_Hyderabad,Inventech Info Solutions,2-6 Yrs,"Angul, Bellary/Ballari, Bareilly, Anantapur, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Ankleshwar",6.5-16.5 Lacs PA,6.5-16.5 ,6.5,16.5 ,11.5,2-6 ,2,6 ,4.0
Data Architect - GCP,Maven Wave Partners,10-19 Yrs,"Hybrid - Chandigarh, Chandigarh, Pune, Maharashtra, Gurgaon/ Gurugram, Haryana, Chennai, Tamil Nadu, Bangalore/ Bengaluru, Karnataka",25-40 Lacs PA,25-40 ,25,40 ,32.5,10-19 ,10,19 ,14.5
Big Data Developer,Silverlink Technologies,4-9 Yrs,"Hybrid - Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)",8-18 Lacs PA,8-18 ,8,18 ,13.0,4-9 ,4,9 ,6.5
Hiring -Azure Data Factory+PowerBI+SQL,Krazy Mantra,6-10 Yrs,"Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru",9-19 Lacs PA,9-19 ,9,19 ,14.0,6-10 ,6,10 ,8.0
Azure Data Architect,Vanshria Holdings And Ventures,15-22 Yrs,"Pune, Bangalore/Bengaluru",40-45 Lacs PA,40-45 ,40,45 ,42.5,15-22 ,15,22 ,18.5
AWS with Data Bricks || Urgent Opening || Bangalore,NR Consulting,4-6 Yrs,Bangalore/Bengaluru,8-10 Lacs PA,8-10 ,8,10 ,9.0,4-6 ,4,6 ,5.0
"Data Analytics & Automation Manager, Hyderabad",Creative Hands HR,8-12 Yrs,"Temp. WFH - Hyderabad/Secunderabad, Bangalore/Bengaluru",20-25 Lacs PA,20-25 ,20,25 ,22.5,8-12 ,8,12 ,10.0
Azure Data Engineer (Python and Databricks Mandatory),Lance Labs,6-11 Yrs,"Noida, Uttar Pradesh, Chennai",15-25 Lacs PA,15-25 ,15,25 ,20.0,6-11 ,6,11 ,8.5
Gcp Data Engineer,Asky Services Llp,3-8 Yrs,"Hyderabad/Secunderabad, Pune, Maharashtra",15-30 Lacs PA,15-30 ,15,30 ,22.5,3-8 ,3,8 ,5.5
Data Engineer 2,OnProcess,5-10 Yrs,Remote,5.5-15 Lacs PA,5.5-15 ,5.5,15 ,10.25,5-10 ,5,10 ,7.5
Azure Data Engineer,Esoftlabs,5-10 Yrs,"Hybrid - Hyderabad/Secunderabad, Pune",12-22 Lacs PA,12-22 ,12,22 ,17.0,5-10 ,5,10 ,7.5
Azure Data Engineer,Mijas Consultants,8-13 Yrs,"Gurgaon/ Gurugram, Haryana",12-22 Lacs PA,12-22 ,12,22 ,17.0,8-13 ,8,13 ,10.5
Azure Data Engineer,IDW Team,5-5 Yrs,Remote,13-15 Lacs PA,13-15 ,13,15 ,14.0,5-5 ,5,5 ,5.0
Data Engineering Manager_Perm Remote,Krazy Mantra,10-18 Yrs,Remote,40-55 Lacs PA,40-55 ,40,55 ,47.5,10-18 ,10,18 ,14.0
Data Engineer ( Data Migration),Eclinicalworks,1-5 Yrs,Temp. WFH - Ahmedabad,4.5-8 Lacs PA,4.5-8 ,4.5,8 ,6.25,1-5 ,1,5 ,3.0
GCP Data Engineer,Multi Recruit,2-5 Yrs,Hyderabad/Secunderabad,8-10 Lacs PA,8-10 ,8,10 ,9.0,2-5 ,2,5 ,3.5
Data Platforms _ Data Engineer - Azure (Mumbai),Wtw Global Delivery And Solutions,3-8 Yrs,"Hybrid - Thane, Mumbai (All Areas)",10-20 Lacs PA,10-20 ,10,20 ,15.0,3-8 ,3,8 ,5.5
Job | Data Engineer with GCP,Motivity Labs,5-10 Yrs,Hyderabad/Secunderabad,50000-3 Lacs PA,0.5-3 ,0.5,3 ,1.75,5-10 ,5,10 ,7.5
Snowflake Data Engineer,Client of Techq Learning Solutions,3-6 Yrs,"Hyderabad/ Secunderabad, Telangana",22.5-25 Lacs PA,22.5-25 ,22.5,25 ,23.75,3-6 ,3,6 ,4.5
Data Quality Engineer,300 Plus Consultant,8-11 Yrs,Hybrid - Delhi / NCR,15-25 Lacs PA,15-25 ,15,25 ,20.0,8-11 ,8,11 ,9.5
Data Science Lead - Remote,Fargowiz Software Services Private Limited,5-10 Yrs,Remote,20-27.5 Lacs PA,20-27.5 ,20,27.5 ,23.75,5-10 ,5,10 ,7.5
"Data Streaming / 3-10 yrs/ Bhubaneswar, Chennai, Pune, Kochi, Bangalor",Wize Careers Consultants,4-9 Yrs,"Pune, Chennai, Bangalore/Bengaluru",8-18 Lacs PA,8-18 ,8,18 ,13.0,4-9 ,4,9 ,6.5
Data Science Consultant,Kanta Hr Executive,2-5 Yrs,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",3-8 Lacs PA,3-8 ,3,8 ,5.5,2-5 ,2,5 ,3.5
Azure Data Factory Developer,DYR Consulting,3-8 Yrs,Bangalore/Bengaluru,10-15 Lacs PA,10-15 ,10,15 ,12.5,3-8 ,3,8 ,5.5
Big Data Developer,Altvu,5-10 Yrs,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",12-22 Lacs PA,12-22 ,12,22 ,17.0,5-10 ,5,10 ,7.5
Project Manager-Data Science,Uberlife Consulting,5-10 Yrs,"Noida, Uttar Pradesh, Pune, Maharashtra, Jaipur, Rajasthan",25-27.5 Lacs PA,25-27.5 ,25,27.5 ,26.25,5-10 ,5,10 ,7.5
Data Engineer- AWS,Vremember Technologies,5-7 Yrs,"Pune, Maharashtra(Baner +1)",8-16 Lacs PA,8-16 ,8,16 ,12.0,5-7 ,5,7 ,6.0
Azure Data Engineer,Micropoint Computers,3-4 Yrs,"Mumbai, Mumbai (All Areas)",3.5-4 Lacs PA,3.5-4 ,3.5,4 ,3.75,3-4 ,3,4 ,3.5
Lead_ Data engineer_ Gurgaon_ With top Automotive mnc,Qty Staffing,10-17 Yrs,"Hybrid - Gurgaon/ Gurugram, Haryana",20-35 Lacs PA,20-35 ,20,35 ,27.5,10-17 ,10,17 ,13.5
Big Data Developer,DataBuzz Ltd,5-10 Yrs,Hyderabad/Secunderabad,20-35 Lacs PA,20-35 ,20,35 ,27.5,5-10 ,5,10 ,7.5
Analyst,Mango Financial Advisors Llp,0-2 Yrs,Bangalore/Bengaluru,10-14 Lacs PA,10-14 ,10,14 ,12.0,0-2 ,0,2 ,1.0
Scientist - Molecular Biology Assay IVD,Holborn Wells India,2-7 Yrs,Delhi / NCR(Naraina),5.5-15.5 Lacs PA,5.5-15.5 ,5.5,15.5 ,10.5,2-7 ,2,7 ,4.5
Video/Image Data Labeler,Pdrc Corporation,1-3 Yrs,Remote,1.5-3.25 Lacs PA,1.5-3.25 ,1.5,3.25 ,2.375,1-3 ,1,3 ,2.0
Data Science Trainer,Aedifico Skill Innovation,2-7 Yrs,Hybrid - Noida(Sector-63 Noida),4-9 Lacs PA,4-9 ,4,9 ,6.5,2-7 ,2,7 ,4.5
Data Modeller warehousing,Independent Consultants,10-20 Yrs,Remote,14-16 Lacs PA,14-16 ,14,16 ,15.0,10-20 ,10,20 ,15.0
Lead Scientist in Drug Discovery,Sravathi Advance Process Technologies,5-10 Yrs,Bangalore/Bengaluru(Electronic City +2),10-15 Lacs PA,10-15 ,10,15 ,12.5,5-10 ,5,10 ,7.5
Big Data Developer | Pune | Chenna | Nagpur,Campus Marg,5-10 Yrs,"Nagpur, Maharashtra, Pune, Maharashtra, Chennai",10-15 Lacs PA,10-15 ,10,15 ,12.5,5-10 ,5,10 ,7.5
Big Data Developer,Latinum Hr Solutions,4-9 Yrs,Pune,11-19 Lacs PA,11-19 ,11,19 ,15.0,4-9 ,4,9 ,6.5
Big Data Developer,Latinum Hr Solutions,5-10 Yrs,Pune,6-16 Lacs PA,6-16 ,6,16 ,11.0,5-10 ,5,10 ,7.5
Big Data Developer,Latinum Hr Solutions,4-9 Yrs,Pune,10-20 Lacs PA,10-20 ,10,20 ,15.0,4-9 ,4,9 ,6.5
Business Analyst,Werize,0-2 Yrs,Bangalore/Bengaluru,4-9 Lacs PA,4-9 ,4,9 ,6.5,0-2 ,0,2 ,1.0
Scientist,Amor Management Consultants,2-7 Yrs,"Bangalore/ Bengaluru, Karnataka",15-22.5 Lacs PA,15-22.5 ,15,22.5 ,18.75,2-7 ,2,7 ,4.5
Business Analyst || SF EC/ Comp and Variable Pay || Success Factor Sol,Wipro,5-7 Yrs,"Chennai, Tamil Nadu, Bangalore/ Bengaluru, Karnataka",8-14 Lacs PA,8-14 ,8,14 ,11.0,5-7 ,5,7 ,6.0
OUD Analyst,Tata Consultancy Services (TCS),3-8 Yrs,"Hybrid - Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",12-22 Lacs PA,12-22 ,12,22 ,17.0,3-8 ,3,8 ,5.5
PKI Analyst,Tata Consultancy Services (TCS),3-8 Yrs,"Hybrid - Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",15-25 Lacs PA,15-25 ,15,25 ,20.0,3-8 ,3,8 ,5.5
Business Analyst,Aon,6-9 Yrs,Hybrid - Bangalore/Bengaluru,25-27.5 Lacs PA,25-27.5 ,25,27.5 ,26.25,6-9 ,6,9 ,7.5
Analyst- Chandigarh,Kabalikrut Group,0-3 Yrs,"Mohali, Punjab, Chandigarh, Chandigarh",2-3 Lacs PA,2-3 ,2,3 ,2.5,0-3 ,0,3 ,1.5
TDS Analyst,EY,1-4 Yrs,Bangalore/Bengaluru,2-5 Lacs PA,2-5 ,2,5 ,3.5,1-4 ,1,4 ,2.5
Business Analyst,Finlander Capital Consulatancy (p) Ltd,0-2 Yrs,Noida,2-4 Lacs PA,2-4 ,2,4 ,3.0,0-2 ,0,2 ,1.0
Business Analyst,Alliance Web Solution,0-1 Yrs,"Noida, Uttar Pradesh",1.25-2.25 Lacs PA,1.25-2.25 ,1.25,2.25 ,1.75,0-1 ,0,1 ,0.5
Business Analyst,Shri Ramswaroop Digital Technology Pvt Ltd,0-3 Yrs,Lucknow,50000-3 Lacs PA,0.5-3 ,0.5,3 ,1.75,0-3 ,0,3 ,1.5
Bengali- Calling Analyst,Unified Credit Solutions,0-1 Yrs,"Gurgaon/ Gurugram, Haryana, Delhi / NCR",3.5-3.75 Lacs PA,3.5-3.75 ,3.5,3.75 ,3.625,0-1 ,0,1 ,0.5
Recriutment Trainee/Analyst,Ehrs Hercolleagues,0-1 Yrs,"Gurgaon/ Gurugram, Haryana",1.25-3 Lacs PA,1.25-3 ,1.25,3 ,2.125,0-1 ,0,1 ,0.5
Aws Engineer/ Developer/ Lead,Hexaware Technologies,5-10 Yrs,"Hybrid - Noida, Pune, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)",25-27.5 Lacs PA,25-27.5 ,25,27.5 ,26.25,5-10 ,5,10 ,7.5
Scientist - Synthetic Biology,Pharma Placements Inc.,2-7 Yrs,Gurgaon/Gurugram,10-15 Lacs PA,10-15 ,10,15 ,12.5,2-7 ,2,7 ,4.5
Machine Learning Engineer,Tata Consultancy Services (TCS),3-8 Yrs,"Hybrid - Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",50000-3 Lacs PA,0.5-3 ,0.5,3 ,1.75,3-8 ,3,8 ,5.5
Business Analyst - DOP - New Delhi,National Institute for Smart Government (NISG),6-10 Yrs,New Delhi,20-30 Lacs PA,20-30 ,20,30 ,25.0,6-10 ,6,10 ,8.0
Urgent vacancy For Business Analyst cum Automation Developer,Kone,3-8 Yrs,Chennai,7-9 Lacs PA,7-9 ,7,9 ,8.0,3-8 ,3,8 ,5.5
Tech Lead/ Senior Software Development Engineer ( Java Full Stack ),Hilabs,5-10 Yrs,Bangalore/Bengaluru,30-45 Lacs PA,30-45 ,30,45 ,37.5,5-10 ,5,10 ,7.5
Scientist,CIEL HR,4-7 Yrs,Hyderabad/Secunderabad,4.5-7 Lacs PA,4.5-7 ,4.5,7 ,5.75,4-7 ,4,7 ,5.5
Machine Learning Engineer,Nexplace Info,4-9 Yrs,Bangalore/Bengaluru,20-27.5 Lacs PA,20-27.5 ,20,27.5 ,23.75,4-9 ,4,9 ,6.5
Senior Engagement Manager,Tiger Analytics,10-14 Yrs,"Hybrid - Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",25-40 Lacs PA,25-40 ,25,40 ,32.5,10-14 ,10,14 ,12.0
Business Analyst | Talent500,Talent500,2-3 Yrs,Remote,8-15 Lacs PA,8-15 ,8,15 ,11.5,2-3 ,2,3 ,2.5
Business Analyst,Starinco,3-6 Yrs,"Kolkata, West Bengal, Bangalore/ Bengaluru, Karnataka",3-8 Lacs PA,3-8 ,3,8 ,5.5,3-6 ,3,6 ,4.5
Business Analyst,Matrix Business Services,2-4 Yrs,Bangalore/Bengaluru,6-8 Lacs PA,6-8 ,6,8 ,7.0,2-4 ,2,4 ,3.0
Business Analyst,Neudesic Technologies,7-12 Yrs,"Kochi/ Cochin, Kerala, Hyderabad/ Secunderabad, Telangana, Bangalore/ Bengaluru, Karnataka",15-30 Lacs PA,15-30 ,15,30 ,22.5,7-12 ,7,12 ,9.5
Business Analyst,Dainik Bhaskar Group,2-7 Yrs,"Hissar/ Hisar, Haryana",3-4.25 Lacs PA,3-4.25 ,3,4.25 ,3.625,2-7 ,2,7 ,4.5
Analyst,Xyxx,0-3 Yrs,"Mumbai, Mumbai Suburban, Mumbai (All Areas)",5-12 Lacs PA,5-12 ,5,12 ,8.5,0-3 ,0,3 ,1.5
Business Analyst,Devship,0-1 Yrs,Hybrid - Chennai,2.5-5 Lacs PA,2.5-5 ,2.5,5 ,3.75,0-1 ,0,1 ,0.5
Business Analyst - SQL,Oxane Partners India Pvt. Ltd.,0-4 Yrs,Gurgaon/Gurugram(Sohna Road),10-15 Lacs PA,10-15 ,10,15 ,12.5,0-4 ,0,4 ,2.0
Business Analyst,Perfect People Search,4-8 Yrs,Hybrid - Pune,15-30 Lacs PA,15-30 ,15,30 ,22.5,4-8 ,4,8 ,6.0
Analyst (HPLC/GC),Sipra Labs,2-5 Yrs,Hyderabad/Secunderabad(Sanath Nagar),2-5.5 Lacs PA,2-5.5 ,2,5.5 ,3.75,2-5 ,2,5 ,3.5
Opening For Business Analyst ll Aon ll Gurgaon,Aon,5-10 Yrs,Gurgaon/Gurugram,7-13 Lacs PA,7-13 ,7,13 ,10.0,5-10 ,5,10 ,7.5
FRM Analyst (off role position),Suryoday Small Finance Bank,0-2 Yrs,"Navi Mumbai, Maharashtra, CBD Belapur",2-3 Lacs PA,2-3 ,2,3 ,2.5,0-2 ,0,2 ,1.0
Senior Database Engineer ( IT MNC ) Noida and Gurgaon,Revive Knowledge,5-10 Yrs,"Noida, Uttar Pradesh, Gurgaon/ Gurugram, Haryana",15-30 Lacs PA,15-30 ,15,30 ,22.5,5-10 ,5,10 ,7.5
Senior Software Engineer,Tech Mahindra,4-6 Yrs,Hyderabad/Secunderabad,10-20 Lacs PA,10-20 ,10,20 ,15.0,4-6 ,4,6 ,5.0
Machine Learning Engineer,Impetus Technologies,3-6 Yrs,"Noida, Hyderabad/Secunderabad, Bangalore/Bengaluru",12-18 Lacs PA,12-18 ,12,18 ,15.0,3-6 ,3,6 ,4.5
Machine Learning Engineer - Remote,Team Plus Staffing Solution,5-10 Yrs,"Pune, Chennai, Bangalore/Bengaluru",10-18 Lacs PA,10-18 ,10,18 ,14.0,5-10 ,5,10 ,7.5
Business Analyst - Bearing Manufacturing - Changodar - Ahmedabad,Prime Placement And Manpower Services,3-8 Yrs,"Ahmedabad(Jaspur +220), Moraiya, Changodar",3-4.25 Lacs PA,3-4.25 ,3,4.25 ,3.625,3-8 ,3,8 ,5.5
Senior Analyst - DataScience,Factspan Analytics,4-8 Yrs,Hybrid - Bangalore/Bengaluru,3-8 Lacs PA,3-8 ,3,8 ,5.5,4-8 ,4,8 ,6.0
Performance Marketing Lead,Contactpoint 360,5-8 Yrs,Bangalore/Bengaluru,6-12 Lacs PA,6-12 ,6,12 ,9.0,5-8 ,5,8 ,6.5
Sr. Analyst Tableau - Top Analytics Providers Global - Remote Role,Brainsearch Consulting,3-8 Yrs,Remote,7-10 Lacs PA,7-10 ,7,10 ,8.5,3-8 ,3,8 ,5.5
EMV Analyst ( EMV L3 Certification ),ThoughtFocus,3-8 Yrs,Bangalore/Bengaluru,8-18 Lacs PA,8-18 ,8,18 ,13.0,3-8 ,3,8 ,5.5
Business Analyst-Mambu,Venpa Staffing,5-10 Yrs,"Chennai, Tamil Nadu, Bangalore/ Bengaluru, Karnataka",5-12 Lacs PA,5-12 ,5,12 ,8.5,5-10 ,5,10 ,7.5
Business Analyst,Kapture CRM,2-7 Yrs,"Bangalore/ Bengaluru, Karnataka",3-8 Lacs PA,3-8 ,3,8 ,5.5,2-7 ,2,7 ,4.5
Urgently Hiring For VAPT Analyst For Andheri - (Marol) Location,Writer Business Services,4-8 Yrs,"Mumbai, Maharashtra(Marol)",8-12 Lacs PA,8-12 ,8,12 ,10.0,4-8 ,4,8 ,6.0
Business Analyst,Tech Mahindra,6-10 Yrs,"Hyderabad/Secunderabad, Chennai",15-20 Lacs PA,15-20 ,15,20 ,17.5,6-10 ,6,10 ,8.0
Business Analyst-Dainik Bhaskar Group-Bhopal (M.P),Dainik Bhaskar Group,3-8 Yrs,Bhopal,7-15 Lacs PA,7-15 ,7,15 ,11.0,3-8 ,3,8 ,5.5
Business Analyst,Cholamandalam Investment And Finance Company Limit,3-7 Yrs,Chennai,8-10 Lacs PA,8-10 ,8,10 ,9.0,3-7 ,3,7 ,5.0
MES Business Analyst,Tata Consultancy Services (TCS),5-10 Yrs,"Pune, Maharashtra",50000-3 Lacs PA,0.5-3 ,0.5,3 ,1.75,5-10 ,5,10 ,7.5
Hub - Business Analyst,G4S,10-15 Yrs,"India, Nagpur",50000 PA,0.5 ,0.5 ,0.5 ,0.5 ,10-15 ,10,15 ,12.5
Business Analyst,Alliance Web Solution Pvt. Ltd.,0-1 Yrs,"Noida, Uttar Pradesh(Sector-64 Noida)",1.25-2.25 Lacs PA,1.25-2.25 ,1.25,2.25 ,1.75,0-1 ,0,1 ,0.5
Seating Analyst,Satven,3-8 Yrs,Chennai,5-15 Lacs PA,5-15 ,5,15 ,10.0,3-8 ,3,8 ,5.5
Business Analyst,Smartworks,1-5 Yrs,Gurgaon/Gurugram,2-4 Lacs PA,2-4 ,2,4 ,3.0,1-5 ,1,5 ,3.0
Analyst,Vipsa Talent Solutions,0-0 Yrs,Pune,1.5-3 Lacs PA,1.5-3 ,1.5,3 ,2.25,0-0 ,0,0 ,0.0
Technical Architect,Hexaware Technologies,13-22 Yrs,"Hybrid - Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",27.5-37.5 Lacs PA,27.5-37.5 ,27.5,37.5 ,32.5,13-22 ,13,22 ,17.5
"Hiring Full Stack developer - Tata Elxsi, Bangalore",Tata Elxsi,3-6 Yrs,Bangalore/Bengaluru,5-9 Lacs PA,5-9 ,5,9 ,7.0,3-6 ,3,6 ,4.5
Associate BA / Business Analyst,izmocars,3-7 Yrs,Bangalore/Bengaluru(4th Phase JP Nagar),10-18 Lacs PA,10-18 ,10,18 ,14.0,3-7 ,3,7 ,5.0
Teradata Senior Technical Lead,Prodapt Solutions,12-18 Yrs,"Hybrid - Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",10-20 Lacs PA,10-20 ,10,20 ,15.0,12-18 ,12,18 ,15.0
Senior Business Analyst/ BA,Softobiz,7-12 Yrs,"Mohali, Hyderabad/Secunderabad",10-20 Lacs PA,10-20 ,10,20 ,15.0,7-12 ,7,12 ,9.5
"Urgently hiring Sr. Analyst/AM BA (FP&A),Jaipur/Gurgaon",Onpoint Corporate Services,5-10 Yrs,Jaipur,5-11 Lacs PA,5-11 ,5,11 ,8.0,5-10 ,5,10 ,7.5
Business Analyst/Scrum Master,Saksoft,5-7 Yrs,"Hybrid - Noida, Pune, Chennai, Bangalore/Bengaluru",15-20 Lacs PA,15-20 ,15,20 ,17.5,5-7 ,5,7 ,6.0
Business Analyst,WIFT Cap Solutions,5-9 Yrs,"Hybrid - Bangalore/ Bengaluru, Karnataka",60000-1 Lacs PA,0.6-1 ,0.6,1 ,0.8,5-9 ,5,9 ,7.0
Business Analyst,Craft Silicon,4-8 Yrs,"Bangalore/ Bengaluru, Karnataka",3.25-8 Lacs PA,3.25-8 ,3.25,8 ,5.625,4-8 ,4,8 ,6.0
Business Insights Analyst,Olive Green Consulting,3-7 Yrs,"Bangalore/ Bengaluru, Karnataka",6-9 Lacs PA,6-9 ,6,9 ,7.5,3-7 ,3,7 ,5.0
Business Analyst(C2H),Shell Infotech,3-5 Yrs,Pune,10-20 Lacs PA,10-20 ,10,20 ,15.0,3-5 ,3,5 ,4.0
Analyst Incentive Calculations,Manpowergroup Services India,1-5 Yrs,"Hybrid - Hyderabad/ Secunderabad, Telangana",5-10 Lacs PA,5-10 ,5,10 ,7.5,1-5 ,1,5 ,3.0
Hiring a Talent developer For PAN India contract,Nexplace Info,5-10 Yrs,"Pune, Bangalore/Bengaluru, Delhi / NCR",17-27.5 Lacs PA,17-27.5 ,17,27.5 ,22.25,5-10 ,5,10 ,7.5
UI/UX/FullStack developer,Teamlease Digital,6-9 Yrs,"Bangalore/ Bengaluru, Karnataka",70000-3 Lacs PA,0.7-3 ,0.7,3 ,1.85,6-9 ,6,9 ,7.5
"GCP with Airflow, SQL",Tata Consultancy Services (TCS),6-11 Yrs,"Kolkata, West Bengal, Hyderabad/ Secunderabad, Telangana, Bangalore/ Bengaluru, Karnataka",50000-3 Lacs PA,0.5-3 ,0.5,3 ,1.75,6-11 ,6,11 ,8.5
Informatica Developer,Careernet Technologies,3-8 Yrs,"Bangalore/ Bengaluru, Karnataka",15-30 Lacs PA,15-30 ,15,30 ,22.5,3-8 ,3,8 ,5.5
Talend Developer,Careernet Technologies,4-9 Yrs,"Bangalore/ Bengaluru, Karnataka",15-30 Lacs PA,15-30 ,15,30 ,22.5,4-9 ,4,9 ,6.5
Lead MLOps Engineer,Arocom IT Solutions Pvt Ltd,5-10 Yrs,Remote,30-40 Lacs PA,30-40 ,30,40 ,35.0,5-10 ,5,10 ,7.5
Lead Engineer - Python,izmocars,7-10 Yrs,Bangalore/Bengaluru(4th Phase JP Nagar),20-30 Lacs PA,20-30 ,20,30 ,25.0,7-10 ,7,10 ,8.5
Hiring Sr. Software Engineer (Scala + Java) || 5+ yrs,Emids,5-10 Yrs,"Hybrid - Noida, New Delhi, Bangalore/Bengaluru, Delhi / NCR",25-32.5 Lacs PA,25-32.5 ,25,32.5 ,28.75,5-10 ,5,10 ,7.5
Machine Learning Engineer,Coforge,5-10 Yrs,"Hybrid - Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Bangalore/Bengaluru, Greater Noida, Mumbai (All Areas)",15-30 Lacs PA (Including Variable: 7.5%),15-30  ,15,30  ,22.5,5-10 ,5,10 ,7.5
Machine Learning Engineer,Whizdm Innovations,6-10 Yrs,Temp. WFH - Bangalore/Bengaluru,35-55 Lacs PA,35-55 ,35,55 ,45.0,6-10 ,6,10 ,8.0
Machine Learning Engineer,CNH Industrial,5-8 Yrs,"Hybrid - Pune, Maharashtra, Gurgaon/ Gurugram, Haryana, Bangalore/Bengaluru",17-30 Lacs PA,17-30 ,17,30 ,23.5,5-8 ,5,8 ,6.5
Machine Learning Engineer- Noida,Newgen,4-9 Yrs,"Noida, Uttar Pradesh",10-14 Lacs PA,10-14 ,10,14 ,12.0,4-9 ,4,9 ,6.5
Data Scientist,Growel Softech,5-5 Yrs,"Noida, Mumbai, Pune",15-30 Lacs PA,15-30 ,15,30 ,22.5,5-5 ,5,5 ,5.0
"SSE, Lead - Pyspark, Spark, AWS - 4+ yrs - Bangalore / Hyderabad",GSN Consulting,4-9 Yrs,"Hyderabad/Secunderabad, Bangalore/Bengaluru",18-25 Lacs PA,18-25 ,18,25 ,21.5,4-9 ,4,9 ,6.5
Analytics lead with Coforge,Coforge,10-15 Yrs,"Hyderabad/Secunderabad, Bangalore/Bengaluru",9-19 Lacs PA,9-19 ,9,19 ,14.0,10-15 ,10,15 ,12.5
SFDC Business Analyst (Bangalore/Hyderabad/ Pune/Jaipur/Gurgaon/Noida),Krazy Mantra,5-10 Yrs,"Kolkata, Hyderabad/Secunderabad, Bangalore/Bengaluru",20-22.5 Lacs PA,20-22.5 ,20,22.5 ,21.25,5-10 ,5,10 ,7.5
Business Analyst - Workday,Helius Technologies,5-10 Yrs,"Hyderabad/ Secunderabad, Telangana, Pune, Maharashtra, Chennai, Tamil Nadu, Bangalore/ Bengaluru, Karnataka, Mumbai (All Areas), Any",13-19 Lacs PA,13-19 ,13,19 ,16.0,5-10 ,5,10 ,7.5
Business Analyst Microsoft Dynamics,ERM Placement Services (p) Ltd.,3-7 Yrs,"Hybrid - Noida, Bangalore/Bengaluru",11-18 Lacs PA,11-18 ,11,18 ,14.5,3-7 ,3,7 ,5.0
