Title,Company,Experience,Location,Salary,Salary (L),min Salary (L),max Salary (L),avg salary (L),Experience (yrs),min Experience (yrs),max Experience (yrs),avg Experience (yrs)
Big Data Engineer - Tech Lead/ Sr. Tech Lead/ PM,Hissar IT,8-12 Yrs,"Hybrid - Kochi/ Cochin, Kerala, Hyderabad/Secunderabad, Pune, Maharashtra, Chennai, Bangalore/ Bengaluru, Karnataka, Trivandrum/ Thiruvananthapuram, Kerala",15-30 Lacs PA,15-30 ,15,30 ,22.5,8-12 ,8,12 ,10.0
Excellent Opportunity For Lead/Sr Data Engineer,Aezion Technologies,8-13 Yrs,"Mysore/Mysuru, Coimbatore, Bangalore/Bengaluru",15-25 Lacs PA,15-25 ,15,25 ,20.0,8-13 ,8,13 ,10.5
Principal - Sr.Data Engineer,Indiaexcite It Solutions,8-12 Yrs,"Bangalore/ Bengaluru, Karnataka",20-32.5 Lacs PA,20-32.5 ,20,32.5 ,26.25,8-12 ,8,12 ,10.0
Senior Data Engineer,SLICeR Solutions Pvt. Ltd.,4-6 Yrs,Hybrid - Bangalore/Bengaluru,7-12 Lacs PA,7-12 ,7,12 ,9.5,4-6 ,4,6 ,5.0
Data Engineer,Allegis Group,8-13 Yrs,"Chennai, Bangalore/Bengaluru",8-18 Lacs PA,8-18 ,8,18 ,13.0,8-13 ,8,13 ,10.5
Data Engineer,Allegis Group,8-12 Yrs,"Chennai, Bangalore/Bengaluru",15-25 Lacs PA,15-25 ,15,25 ,20.0,8-12 ,8,12 ,10.0
Data Engineer,ITC Infotech,5-8 Yrs,Bangalore/Bengaluru,50000-60000 PA,0.5-0.6 ,0.5,0.6 ,0.55,5-8 ,5,8 ,6.5
Snowflake Data Engineer,Randstad,6-9 Yrs,"Bangalore/ Bengaluru, Karnataka",1-6 Lacs PA,1-6 ,1,6 ,3.5,6-9 ,6,9 ,7.5
Data Engineer-GCP,Nexplace Info,4-9 Yrs,Bangalore/Bengaluru,1.25-2.25 Lacs PA,1.25-2.25 ,1.25,2.25 ,1.75,4-9 ,4,9 ,6.5
"Business Analyst - Clinical data , Pharma, Pharmacovigilance",Axtria,7-12 Yrs,"Noida, Pune, Gurgaon/Gurugram, Bangalore",15-30 Lacs PA,15-30 ,15,30 ,22.5,7-12 ,7,12 ,9.5
Opening For Data Analyst - Bangalore,Select Source International,6-10 Yrs,Bangalore/Bengaluru,10-14 Lacs PA,10-14 ,10,14 ,12.0,6-10 ,6,10 ,8.0
Data Analyst,Fabzen Technologies,2-4 Yrs,Bangalore/Bengaluru,8-10 Lacs PA,8-10 ,8,10 ,9.0,2-4 ,2,4 ,3.0
Data Analyst,Dainik Bhaskar Group,7-10 Yrs,"Mumbai, Maharashtra",6-8 Lacs PA,6-8 ,6,8 ,7.0,7-10 ,7,10 ,8.5
Data Analyst - Singapore Standard time,Randstad India,2-7 Yrs,Remote,2.5-7 Lacs PA,2.5-7 ,2.5,7 ,4.75,2-7 ,2,7 ,4.5
Senior Data Engineer,Techneplus Software India Private Limited,5-8 Yrs,"Hybrid - Noida, Uttar Pradesh, Bangalore/Bengaluru",25-32.5 Lacs PA,25-32.5 ,25,32.5 ,28.75,5-8 ,5,8 ,6.5
Senior Big Data Engineer,RMW India Services,8-13 Yrs,"Bangalore/ Bengaluru, Karnataka",13-23 Lacs PA,13-23 ,13,23 ,18.0,8-13 ,8,13 ,10.5
Data Analysis and Integration Engineer,RMS Technologies,2-3 Yrs,Bangalore/Bengaluru,3-4 Lacs PA,3-4 ,3,4 ,3.5,2-3 ,2,3 ,2.5
Senior Big Data Engineer,Support Star Corporate,7-10 Yrs,"Hybrid - Hyderabad/Secunderabad, Chennai",15-25 Lacs PA,15-25 ,15,25 ,20.0,7-10 ,7,10 ,8.5
Hiring For Senior Data Engineer At Allegis Global Solution!!,Allegis Group,6-11 Yrs,Hybrid - Hyderabad/Secunderabad,50000-3 Lacs PA,0.5-3 ,0.5,3 ,1.75,6-11 ,6,11 ,8.5
Azure Data Engineer,Tata Consultancy Services (TCS),5-10 Yrs,"Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",50000-2.75 Lacs PA,0.5-2.75 ,0.5,2.75 ,1.625,5-10 ,5,10 ,7.5
Data Science Engineer,Strydo Technologies,0-2 Yrs,"Tirupati, Andhra Pradesh, Vellore, Tamil Nadu",1-2.5 Lacs PA,1-2.5 ,1,2.5 ,1.75,0-2 ,0,2 ,1.0
Senior Analyst - Data Science,Factspan Analytics,3-8 Yrs,Hybrid - Bangalore/Bengaluru,4-9 Lacs PA,4-9 ,4,9 ,6.5,3-8 ,3,8 ,5.5
Data Analyst,"Retail Kloud9 Technologies India Pvt. Ltd.,",7-12 Yrs,Bangalore/Bengaluru,20-25 Lacs PA,20-25 ,20,25 ,22.5,7-12 ,7,12 ,9.5
Data Analyst @ Hotel Industry,Compass Group,2-5 Yrs,Mumbai,2-5 Lacs PA,2-5 ,2,5 ,3.5,2-5 ,2,5 ,3.5
Wind Energy Data Analyst | Gurgaon Location | Only Female,ReNew Power,1-4 Yrs,Gurgaon/Gurugram,3-7 Lacs PA,3-7 ,3,7 ,5.0,1-4 ,1,4 ,2.5
Opportunity To Work with CITI || Data Analyst Role,Citicorp Finance,4-9 Yrs,Hybrid - Chennai,15-27.5 Lacs PA,15-27.5 ,15,27.5 ,21.25,4-9 ,4,9 ,6.5
Data Analyst,Acurus,0-3 Yrs,Chennai,3.5-4 Lacs PA,3.5-4 ,3.5,4 ,3.75,0-3 ,0,3 ,1.5
Hiring-Data Analyst-Ahmedabad,ActionEdge Research Services,0-3 Yrs,Ahmedabad,2.25-3 Lacs PA,2.25-3 ,2.25,3 ,2.625,0-3 ,0,3 ,1.5
Data Analysts-AB-Pmjay-Delhi,National Institute for Smart Government (NISG),3-5 Yrs,"New Delhi, Delhi",10-15 Lacs PA,10-15 ,10,15 ,12.5,3-5 ,3,5 ,4.0
Trainee Junior Data Analyst,Tenet Health Edutech,0-0 Yrs,"Hybrid - Kolkata, West Bengal, Bhopal, Madhya Pradesh, Pune, Maharashtra, Ahmedabad, Gujarat, Delhi / NCR, Mumbai (All Areas)",1.75-2.5 Lacs PA,1.75-2.5 ,1.75,2.5 ,2.125,0-0 ,0,0 ,0.0
Junior Data Analyst,Ohm Analytics,0-2 Yrs,Pune,1.5-3.5 Lacs PA,1.5-3.5 ,1.5,3.5 ,2.5,0-2 ,0,2 ,1.0
Junior Data Analyst,Technosoft Engineering,0-2 Yrs,"Thane, Pune",1-3 Lacs PA,1-3 ,1,3 ,2.0,0-2 ,0,2 ,1.0
"Data Engineer Lead - Bangalore, Gurgaon, Chennai, Pune, Mumbai",Imaginators Try Going Beyond,4-7 Yrs,"Mumbai, Maharashtra, Pune, Maharashtra, Gurgaon/ Gurugram, Haryana, Chennai, Tamil Nadu, Bangalore/ Bengaluru, Karnataka",10-18 Lacs PA,10-18 ,10,18 ,14.0,4-7 ,4,7 ,5.5
"Data Engineer Lead - Azure-(Bangalore, Gurgaon, Chennai, Pune, Mumbai)",Imaginators Try Going Beyond,5-10 Yrs,"Mumbai, Maharashtra, Pune, Maharashtra, Gurgaon/ Gurugram, Haryana, Chennai, Tamil Nadu, Bangalore/ Bengaluru, Karnataka",17-25 Lacs PA,17-25 ,17,25 ,21.0,5-10 ,5,10 ,7.5
Technical Lead-Data Engineering,Lentra,8-12 Yrs,"Chennai, Bangalore/Bengaluru",15-30 Lacs PA,15-30 ,15,30 ,22.5,8-12 ,8,12 ,10.0
Data Engineer Lead - BLR,Imaginators Try Going Beyond,4-7 Yrs,"Bangalore/ Bengaluru, Karnataka",10-18 Lacs PA,10-18 ,10,18 ,14.0,4-7 ,4,7 ,5.5
Data Engineer Lead - Azure-(Bangalore),Imaginators Try Going Beyond,5-10 Yrs,"Bangalore/ Bengaluru, Karnataka",17-25 Lacs PA,17-25 ,17,25 ,21.0,5-10 ,5,10 ,7.5
AWS Lead Data Engineer Specialist,Tech Mahindra,6-11 Yrs,Hyderabad/Secunderabad,7-17 Lacs PA,7-17 ,7,17 ,12.0,6-11 ,6,11 ,8.5
Assistant Lead/Lead Data Engineer,Manpowergroup Services India,5-10 Yrs,Hybrid - Chennai,11-21 Lacs PA,11-21 ,11,21 ,16.0,5-10 ,5,10 ,7.5
Sr. Data engineer (SAP BW/BI) at Citrix R&D (Bangalore - onsite),Citrix,4-9 Yrs,Bangalore Rural,5-15 Lacs PA,5-15 ,5,15 ,10.0,4-9 ,4,9 ,6.5
"Senior Data Engineer (SAP HANA, ETL)",Luxoft,6-10 Yrs,Remote,10-20 Lacs PA,10-20 ,10,20 ,15.0,6-10 ,6,10 ,8.0
Data Migration Engineer -Jr./Sr.,Newpage Hr Solutions Llp,1-6 Yrs,Bangalore/Bengaluru,5-10 Lacs PA,5-10 ,5,10 ,7.5,1-6 ,1,6 ,3.5
Urgent Openings - Azure Data Engineer,Infogain,4-9 Yrs,"Temp. WFH - Noida, New Delhi, Pune, Gurgaon/Gurugram, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",10-20 Lacs PA,10-20 ,10,20 ,15.0,4-9 ,4,9 ,6.5
