Job title,Company,Experience,Location,Salary,Salary (L),min Salary (L),max Salary (L),avg salary (L),Experience (yrs),min Experience (yrs),max Experience (yrs),avg Experience (yrs)
data engineer,Ascendion Engineering,10-15 Yrs,remote,15-30 Lacs PA,15-30 ,15.0,30.0,22.5,10-15 ,10,15,12.5
data engineer,Citrix,4-9 Yrs,Bangalore,5-15 Lacs PA,5-15 ,5.0,15.0,10.0,4-9 ,4,9,6.5
data engineer,News Technology Services,4-8 Yrs,Bangalore,22.5-25 Lacs PA,22.5-25 ,22.5,25.0,23.75,4-8 ,4,8,6.0
data engineer,Olive Green Consulting,6-10 Yrs,Bangalore,11-20 Lacs PA,11-20 ,11.0,20.0,15.5,6-10 ,6,10,8.0
Data Scientist,We Remote Devs Pvt Ltd.,8-13 Yrs,Bangalore,30-45 Lacs PA,30-45 ,30.0,45.0,37.5,8-13 ,8,13,10.5
data engineer,Abzooba India Infotech,8-12 Yrs,Maharashtra,22.5-27.5 Lacs PA,22.5-27.5 ,22.5,27.5,25.0,8-12 ,8,12,10.0
data engineer,Venpa Staffing,5-8 Yrs,Bangalore,20-35 Lacs PA,20-35 ,20.0,35.0,27.5,5-8 ,5,8,6.5
data engineer,Buyersroad,2-5 Yrs,Bangalore,10-16 Lacs PA,10-16 ,10.0,16.0,13.0,2-5 ,2,5,3.5
data engineer,Imaginators Try Going Beyond,7-12 Yrs,Bangalore,10-18 Lacs PA,10-18 ,10.0,18.0,14.0,7-12 ,7,12,9.5
data engineer,Imaginators Try Going Beyond,3-8 Yrs,Bangalore,14-24 Lacs PA,14-24 ,14.0,24.0,19.0,3-8 ,3,8,5.5
data engineer,Imaginators Try Going Beyond,3-8 Yrs,Bangalore,14-24 Lacs PA,14-24 ,14.0,24.0,19.0,3-8 ,3,8,5.5
data engineer,Artech,4-9 Yrs,Bangalore,8-15 Lacs PA,8-15 ,8.0,15.0,11.5,4-9 ,4,9,6.5
data engineer,One of the largest IT services organizations,5-9 Yrs,Bangalore,14-24 Lacs PA,14-24 ,14.0,24.0,19.0,5-9 ,5,9,7.0
