Title,Company,Experience,Location,Salary
Senior Data Scientist,Quantium Analytics,4-9 Yrs,Hyderabad/Secunderabad,Not disclosed
Senior Data Scientist,Algoanalytics Financial Consultancy,3-4 Yrs,Pune,Not disclosed
Data Scientist - Phd only,NDS InfoServ,0-2 Yrs,Mumbai,12-15 Lacs PA
Data scientist,Mudracircle,0-1 Yrs,Mumbai,Not disclosed
ML / Data Scientist,Gibots,0-2 Yrs,Pune,Not disclosed
Data scientist,Vertexplus Technologies,0-5 Yrs,Noida,Not disclosed
Data Scientist,P S International HR Consultants,0-7 Yrs,Mumbai,Not disclosed
Lead Machine Learning Engineer/ Data Scientist,whiz.ai,5-9 Yrs,Pune,Not disclosed
Data Scientist,HR Remedy India,3-8 Yrs,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR",Not disclosed
Data Scientist,Megma Services,1-4 Yrs,"Mumbai, Bangalore/Bengaluru",Not disclosed
Data Scientist,Megma Services,1-4 Yrs,"Mumbai, Bangalore/Bengaluru",Not disclosed
Data Scientist - AI/ML,Executive Selection India,1-6 Yrs,Bangalore/Bengaluru,Not disclosed
Data Scientist II - Machine & Deep Learning,Yo HR Consultancy,2-3 Yrs,Bangalore/Bengaluru,Not disclosed
Data scientist,NR Consulting,4-8 Yrs,Bangalore/Bengaluru,Not disclosed
Lead Data Scientist,Quantium Analytics,6-11 Yrs,Hyderabad/Secunderabad,Not disclosed
Data Scientist,Capital Placement Services,2-7 Yrs,"Hyderabad/Secunderabad, Gurgaon/Gurugram, Bangalore/Bengaluru",Not disclosed
Data Scientist,Tech Mahindra,12-20 Yrs,Pune,25-30 Lacs PA
Data Scientist,Innovaccer,2-4 Yrs,Noida,Not disclosed
Data Scientist,Financial Software Systems(FSS),2-3 Yrs,"Kolkata, Mumbai, Chennai, Bangalore/Bengaluru",Not disclosed
Data Scientist,Adidas,5-10 Yrs,Gurgaon/Gurugram,Not disclosed
"Data Scientist, Growth and Data Products",Dow Jones,4-8 Yrs,"New Delhi, Bangalore/Bengaluru",Not disclosed
Data Scientist,Adidas,2-7 Yrs,Gurgaon/Gurugram,Not disclosed
Urgently Looking For Immediate joiners-Data Scientist-ML/DL/LLM/BERT,Hexaware Technologies,5-10 Yrs,"Temp. WFH - Navi Mumbai, Pune, Mumbai (All Areas)",Not disclosed
Data Scientist,Capgemini,4-9 Yrs,Pune,Not disclosed
Data Scientist,Tech Mahindra,7-12 Yrs,Pune,Not disclosed
Data Scientist,Tech Mahindra,8-13 Yrs,Pune,Not disclosed
Data Scientist,Agile Airport Services,2-6 Yrs,Gurgaon/Gurugram,Not disclosed
Data Scientist,Alp Consulting,3-7 Yrs,"Hubli, Mangaluru/Mangalore, Mysore/Mysuru, Bangalore/Bengaluru, Belagavi/Belgaum",Not disclosed
Data Scientist / Decision Scientist,Maruti Suzuki,2-6 Yrs,Bangalore/Bengaluru,Not disclosed
Data Scientist,Tech Mahindra,4-6 Yrs,Gurgaon/Gurugram,15-22.5 Lacs PA
Data Scientist,ITC Infotech,3-7 Yrs,Bangalore/Bengaluru,Not disclosed
Data Scientist,Aspire Systems,3-8 Yrs,"Kochi/Cochin, Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",Not disclosed
Data Scientist,Quest Alliance,8-10 Yrs,Bangalore/Bengaluru,Not disclosed
Data Scientist (neo4j graphdb and cypher queries ),Essenware Private Limted,2-6 Yrs,"Warangal, Hyderabad/Secunderabad, Nizamabad",Not disclosed
Data Scientist,SVKM's Narsee Monjee Institute of Management Studies - NMIMS,2-7 Yrs,Mumbai,Not disclosed
Data Scientist - Machine Learning,Rpa Infotech,2-7 Yrs,Gurgaon/Gurugram,Not disclosed
Data Scientist,Tata Nexarc,3-6 Yrs,"Mumbai, Pune",Not disclosed
GIC - CONSUMER & MARKET INTELLIGENCE - DATA SCIENTIST,General Mills,3-4 Yrs,Mumbai,Not disclosed
Data Scientist (Manager I) Fraud & Credit Risk - Decision Science,Fiserv,10-12 Yrs,Thane,Not disclosed
Data Scientist I ( SE - 1 ),Yatra.com,1-5 Yrs,New Delhi,Not disclosed
Data Scientist,Merck Sharp & Dohme (MSD),3-7 Yrs,Pune,Not disclosed
Data Scientist,Essenware Private Limted,5-6 Yrs,Hyderabad/Secunderabad,Not disclosed
Data Scientist,Teleperformance (TP),1-6 Yrs,Mumbai,Not disclosed
Data Scientist,Dr Reddys,2-5 Yrs,Hyderabad/Secunderabad,Not disclosed
Data Scientist,Isha Foundation,2-3 Yrs,Coimbatore,Not disclosed
MLOps - Data Scientist,Paytm,3-8 Yrs,Noida,Not disclosed
Data Scientist,Caterpillar Inc,1-10 Yrs,Chennai,Not disclosed
Data Scientist,Orange Business Services,8-10 Yrs,Gurgaon/Gurugram,Not disclosed
Data Scientist,Subhag Healthtech,5-7 Yrs,Bangalore/Bengaluru,Not disclosed
Data Scientist,Practo,1-4 Yrs,Bangalore/Bengaluru,Not disclosed
Data Scientist,ITC Infotech,4-7 Yrs,Bangalore/Bengaluru,Not disclosed
Data Scientist,Renault,8-8 Yrs,Chennai,Not disclosed
Data Scientist (FrontEnd Dev),Pfizer,3-7 Yrs,Chennai,Not disclosed
Data Engineer & Data Scientist,Fusion Plus Solutions,2-6 Yrs,Hyderabad/Secunderabad,Not disclosed
Data Scientist and Data Engineer,Squircle IT,3-7 Yrs,Chennai,Not disclosed
ML Engineer / Data Scientist,Spotflock Technologies,5-10 Yrs,"New Delhi, Hyderabad/Secunderabad",Not disclosed
Data Scientist / NLP /engineer,Anicalls,5-9 Yrs,Chennai,Not disclosed
Data Scientist / Machine Learning Engineer,Infiswift Technologies,3-7 Yrs,Pune,Not disclosed
Software Engineer - Data Scientist,Johnson Controls,3-7 Yrs,Pune,Not disclosed
ML Engineer/ Data Scientist Engineer,Anicalls,5-8 Yrs,Chennai,Not disclosed
ML Engineer/ Data Scientist Engineer,Anicalls,5-8 Yrs,Hyderabad/Secunderabad,Not disclosed
SAS Data Scientist/Modeler Engineer,Anicalls,4-8 Yrs,Chennai,Not disclosed
Business Analyst - Data Scientist,Anicalls,5-7 Yrs,Hyderabad/Secunderabad,Not disclosed
"Technical Analyst, Data Scientist",Agilite Group Technologies,3-7 Yrs,Trivandrum/Thiruvananthapuram,Not disclosed
Hiring For Data Scientist,Infogain,3-5 Yrs,Remote,Not disclosed
Data Scientist,New Emerging World Of Journalism (newj),6-11 Yrs,Mumbai,Not disclosed
Data Scientist - Power BI,Bristlecone,5-8 Yrs,Pune,Not disclosed
Data scientist,ICICI Prudential Life,3-5 Yrs,Mumbai,Not disclosed
Data Scientist,Cyient,4-8 Yrs,Hyderabad/Secunderabad,Not disclosed
"Data Scientist/ Data Engineer Chennai, Bangalore, Mumbai",Talent Leads Hr Solutions,4-9 Yrs,"Chennai, Mumbai (All Areas)",15-25 Lacs PA
Data Scientist,Talentnex Consulting,5-7 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Not disclosed
Data Scientist,Clarifai,3-7 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Not disclosed
Data Scientist,Magna,3-5 Yrs,Bangalore/Bengaluru,Not disclosed
TS- Data Scientist,Srivango,4-9 Yrs,"Kolkata, Hyderabad/Secunderabad, Bangalore/Bengaluru",Not disclosed
Join Our Growing Team at Lendingkart - Job Opening: Data Scientist,Lendingkart,3-8 Yrs,"Hyderabad/Secunderabad, Bangalore/Bengaluru",Not disclosed
Data Scientist,Racanaa Innovative Solutions,3-4 Yrs,Bangalore/Bengaluru,Not disclosed
Data Scientist,M2P Fintech,3-5 Yrs,"Chennai, Bangalore/Bengaluru",Not disclosed
Data Scientist || Bangalore OR Lucknow,Carnation Infotech,3-8 Yrs,"Hybrid - Lucknow, Bangalore/Bengaluru",Not disclosed
Data Scientist,Carnation Infotech,3-4 Yrs,"Hybrid - Lucknow, Bangalore/Bengaluru",Not disclosed
"Data Scientist, Growth and Data Products",News Corp Australia,3-8 Yrs,Bangalore/Bengaluru,Not disclosed
Data Scientist,AIE Group,5-10 Yrs,Bangalore/Bengaluru,Not disclosed
